(Hotkey: {0}),,(Schnelltaste: {0}),(Raccourci : {0}),(клавиша: {0}),（快捷键：{0}）,(ホットキー: {0}),(Atajo: {0}),(단축키: {0}),(Kısayol tuşu: {0}),(клавіша: {0}),(Atalho: {0}),(klávesa: {0}),(Klawisz: {0})
(Optional),,(Optional),(Optionnel),(дополнительно),（可选的）,(任意),(Opcional),(선택 사항),(İsteğe bağlı),(необов'язково),(Opcional),(volitelné),(Opcjonalne)
--Asmodeus II,,--Asmodeus II,--Asmodeus II,--Асмодеус II,--阿斯莫迪斯二世,--アスモデウス II,--Asmodeus II,--아스모데우스 2세,--Asmodeus II,--Асмодей II,--Asmodeus II,--Asmodeus II,--Asmodeusz II
3 + Left Mouse,,3 + linke Maustaste,3 + Clic gauche,3 + левая кнопка мыши,3 + 鼠标左键,3 + 左クリック,3 + Botón Izquierdo del Ratón,3 + 왼쪽 클릭,3 + Sol Fare,3 + ЛКМ,3 + Mouse Esquerdo,3 + levá myš,3 + Lewy przycisk myszy
A Scion's Will,,Der Wille eines Nachkommen,La volonté de l'héritier,Воля наследника,贵族后裔的决心,サイオンの●意思,La Voluntad de un Heredero,자손의 의지,Bir Scion'un İradesi,Воля намісника,O Arbítrio de um Herdeiro,Vůle potomka,Wola potomka
A Well-Earned Reward,,Eine wohlverdiente Belohnung,Une récompense amplement méritée,Заслуженная награда,应得的报酬,勝ち得た●報酬,Una Recompensa Merecida,충분한 보상,İyi Kazanılan Ödül,Заслужена винагорода,Uma Recompensa Merecida,Zasloužená odměna,Zasłużona nagroda
A marble is only free if it has 3 *contiguous* empty spaces next to it.,,"Eine Murmel ist nur frei, wenn 3 *angrenzende* leere Felder neben ihr sind.",Une bille n'est libre que si elle possède 3 espaces vides *adjacents*.,"Шарик считается свободным, только если рядом с ним имеется 3 *соседних* пустых ячейки.",弹珠只有在旁边有3个*连续的*空白空间时才可以动。,ビー玉は●3つの●*隣接する*●スペースが●空白で●なければ●自由に●ならない。,Una canica solo esta libre si tiene 3 espacios libre *consecutivos* a su lado.,구슬은 3개의 *인접한* 빈칸이 있어야 자유로워 집니다.,Misket ancak yanında 3 *bitişik* boş alan varsa boştadır.,"Кулька вважається вільною, якщо навколо неї 3 *послідовних* місця є пустими.",Uma pedra só está livre caso tenha 3 espaços vazios *contíguos* adjacentes.,"Kulička se odemkne jen v případě, že má 3 *sousední* prázdná místa.","Kulka jest wolna tylko wtedy, kiedy 3 *sąsiadujące* pola obok niej są puste."
A single arm and gripper that can extend and retract.,,"Ein einzelner Arm und Greifer, der aus- und eingefahren werden kann.",Un bras et sa pince qui s'étend et se rétracte.,"Одиночный манипулятор с захватом, который можно выдвигать и втягивать.",一个可以伸缩、带有夹钳的单机械臂。,伸縮する●単一のアームと●グリッパー。,Un brazo y pinza que puede extenderse y retraerse.,늘렸다가 줄일수 있는 팔과 집게입니다.,Uzatılabilen ve geri çekilebilen tek bir kol ve kıskaç.,"Одинарний маніпулятор із захватом, який може висуватись чи втягуватись.","Um braço único com garra, capaz de se estender ou retrair.","Jednoduchý manipulátor a zachycovač, který se může natáhnout a stáhnout.","Pojedyncze ramię z chwytakiem, które może zmieniać swoją długość."
A single arm and gripper.,,Ein einzelner Arm und Greifer.,Un bras et sa pince.,Одиночный манипулятор с захватом.,一个带有夹钳的单机械臂。,単一の●アームと●グリッパー。,Un brazo y pinza.,하나의 팔과 집게입니다.,Tek bir kol ve kıskaç.,Одинарний маніпулятор із захватом.,Um braço único com uma garra.,Jednoduchý manipulátor a zachycovač.,Pojedyncze ramię z chwytakiem.
"Abandoned Tailor Shop, The Downriver Quarters",,"Verlassene Schneiderei, flussabwärts gelegenes Viertel","Boutique de tailleur abandonnée, Les quartiers en aval","Закрытая портновская мастерская, кварталы набережной",废弃的裁缝店，下游总部,放棄された●仕立屋、川下の●居住区,"Tienda de sastre abandonada, Las Barracas Ribereñas","강 하류 지구, 버려진 옷 가게","Terk Edilmiş Terzi Dükkanı, Downriver Mahallesi","Покинута кравецька майстерня, прибережні квартали","Alfaiataria Abandonada, Distritos Baixos",Opuštěný krejčovský obchod v pobřežní čtvrti,"Opuszczony zakład krawiecki, Kwartał przybrzeżny"
